timestamp_s,fixed_diff,cmda_diff_mean,low_diff_mean,predicted_diff,ewma_pred_interval,block_time_s,tips_count,dag_nodes,blocks_mined,total_energy_J
1.009296,1048576,1048576,943718,1048576,6.0,0.135467,1,1,1,4.2775e-05
2.022841,1048576,1048576,943718,1048576,6.0,0.135467,1,1,1,4.2775e-05
3.036787,1048576,1048576,943718,1048576,6.0,0.135467,1,1,1,4.2775e-05
4.051182,1048576,1048576,943718,1048576,6.0,0.135467,1,1,1,4.2775e-05
5.0662,1048576,1048576,943718,1048576,6.0,4.828715,2,2,2,0.00134295
6.081276,1048576,958622,862759,880482,5.750265,0.324198,1,3,3,0.001427295
7.095828,1048576,958622,862759,880482,5.750265,0.324198,1,3,3,0.001427295
8.113234,1048576,958622,862759,880482,5.750265,0.324198,1,3,3,0.001427295
9.123928,1048576,958622,862759,880482,5.750265,0.324198,1,3,3,0.001427295
10.136175,1048576,958622,862759,880482,5.750265,0.324198,1,3,3,0.001427295
11.152522,1048576,958622,862759,880482,5.750265,4.960176,2,4,4,0.00412082
12.17508,1048576,1037726,933953,965555,5.787601,0.247526,3,7,7,0.01061606
13.197282,1048576,1037726,933953,965555,5.787601,0.247526,3,7,7,0.01061606
14.21066,1048576,1037726,933953,965555,5.787601,0.247526,3,7,7,0.01061606
15.22687,1048576,1037726,933953,965555,5.787601,0.247526,3,7,7,0.01061606
16.24244,1048576,1037726,933953,965555,5.787601,0.247526,3,7,7,0.01061606
17.259124,1048576,1045209,940688,1066861,6.061828,4.285914,4,8,8,0.0134254
18.274047,1048576,1045209,940688,1066861,6.061828,4.285914,4,8,8,0.0134254
19.304068,1048576,1045209,940688,1066861,6.061828,4.285914,4,8,8,0.0134254
20.335152,1048576,1045209,940688,1066861,6.061828,4.285914,4,8,8,0.0134254
